Year,Age Group,Sex,"Death Rate Per 100,000"
2010,7-27 days,Both,13691.40
2010,28-364 days,Male,3262.10
2010,28-364 days,Female,2734.80
2010,28-364 days,Both,3002.00
2010,1-4 years,Male,1022.40
2010,1-4 years,Female,743.70
2010,1-4 years,Both,884.60
2010,5-9 years,Male,129.00
2010,5-9 years,Female,106.60
2010,5-9 years,Both,117.90
2010,10-14 years,Male,99.00
2010,10-14 years,Female,87.20
2010,10-14 years,Both,93.10
2010,15-19 years,Male,226.10
2010,15-19 years,Female,175.60
2010,15-19 years,Both,200.70
2010,20-24 years,Male,399.60
2010,20-24 years,Female,311.70
2010,20-24 years,Both,355.20
2010,25-29 years,Male,523.80
2010,25-29 years,Female,425.00
2010,25-29 years,Both,473.90
2010,30-34 years,Male,642.40
2010,30-34 years,Female,500.10
2010,30-34 years,Both,570.70
2010,35-39 years,Male,835.20
2010,35-39 years,Female,611.10
2010,35-39 years,Both,722.00
2010,40-44 years,Male,999.50
2010,40-44 years,Female,648.80
2010,40-44 years,Both,821.00
2010,45-49 years,Male,1283.70
2010,45-49 years,Female,763.20
2010,45-49 years,Both,1015.40
2010,50-54 years,Male,1713.20
2010,50-54 years,Female,962.50
2010,50-54 years,Both,1320.70
2010,55-59 years,Male,2236.10
2010,55-59 years,Female,1320.40
2010,55-59 years,Both,1750.80
2010,60-64 years,Male,3278.00
2010,60-64 years,Female,2040.60
2010,60-64 years,Both,2618.50
2010,65-69 years,Male,4517.00
2010,65-69 years,Female,3211.10
2010,65-69 years,Both,3810.60
2010,70-74 years,Male,6424.20
2010,70-74 years,Female,4652.00
2010,70-74 years,Both,5447.50
2010,75-79 years,Male,8684.40
2010,75-79 years,Female,6751.90
2010,75-79 years,Both,7590.10
2010,80+ years,Male,13676.90
2010,80+ years,Female,11969.70
2010,80+ years,Both,12652.90
2010,All ages,Male,941.00
2010,All ages,Female,732.20
2010,All ages,Both,835.70
1970,0-6 days,Male,37229.60
1970,0-6 days,Female,28279.60
1970,0-6 days,Both,32928.60
1970,7-27 days,Male,8536.70
1970,7-27 days,Female,6991.30
1970,7-27 days,Both,7789.40
1970,28-364 days,Male,3776.60
1970,28-364 days,Female,3234.20
1970,28-364 days,Both,3514.10
1970,1-4 years,Male,605.30
1970,1-4 years,Female,534.50
1970,1-4 years,Both,571.00
1970,5-9 years,Male,87.50
1970,5-9 years,Female,65.70
1970,5-9 years,Both,76.80
1970,10-14 years,Male,62.10
1970,10-14 years,Female,43.60
1970,10-14 years,Both,53.00
1970,15-19 years,Male,107.50
1970,15-19 years,Female,61.20
1970,15-19 years,Both,84.60
1970,20-24 years,Male,144.40
1970,20-24 years,Female,80.10
1970,20-24 years,Both,112.60
1970,25-29 years,Male,147.90
1970,25-29 years,Female,97.50
1970,25-29 years,Both,123.20
1970,30-34 years,Male,170.50
1970,30-34 years,Female,123.80
1970,30-34 years,Both,147.50
1970,35-39 years,Male,216.90
1970,35-39 years,Female,166.20
1970,35-39 years,Both,191.80
1970,40-44 years,Male,323.50
1970,40-44 years,Female,236.40
1970,40-44 years,Both,279.90
1970,45-49 years,Male,509.60
1970,45-49 years,Female,354.00
1970,45-49 years,Both,431.80
1970,50-54 years,Male,816.10
1970,50-54 years,Female,543.40
1970,50-54 years,Both,681.80
1970,55-59 years,Male,1282.90
1970,55-59 years,Female,818.60
1970,55-59 years,Both,1046.90
1970,60-64 years,Male,2041.90
1970,60-64 years,Female,1340.50
1970,60-64 years,Both,1683.70
1970,65-69 years,Male,3191.30
1970,65-69 years,Female,2206.70
1970,65-69 years,Both,2684.90
1970,70-74 years,Male,4948.50
1970,70-74 years,Female,3773.30
1970,70-74 years,Both,4318.90
1970,75-79 years,Male,7670.40
1970,75-79 years,Female,6363.20
1970,75-79 years,Both,6935.10
1970,80+ years,Male,14245.80
1970,80+ years,Female,12871.70
1970,80+ years,Both,13472.80
1970,All ages,Male,692.10
1970,All ages,Female,587.00
1970,All ages,Both,640.10
1980,0-6 days,Male,35969.10
1980,0-6 days,Female,27119.10
1980,0-6 days,Both,31692.50
1980,7-27 days,Male,7639.30
1980,7-27 days,Female,6392.10
1980,7-27 days,Both,7038.00
1980,28-364 days,Male,3351.60
1980,28-364 days,Female,2884.00
1980,28-364 days,Both,3125.30
1980,1-4 years,Male,501.80
1980,1-4 years,Female,440.70
1980,1-4 years,Both,472.20
1980,5-9 years,Male,79.10
1980,5-9 years,Female,59.50
1980,5-9 years,Both,69.70
1980,10-14 years,Male,56.50
1980,10-14 years,Female,33.50
1980,10-14 years,Both,45.30
1980,15-19 years,Male,98.90
1980,15-19 years,Female,44.80
1980,15-19 years,Both,73.50
1980,20-24 years,Male,132.90
1980,20-24 years,Female,57.50
1980,20-24 years,Both,97.30
1980,25-29 years,Male,136.10
1980,25-29 years,Female,68.90
1980,25-29 years,Both,104.10
1980,30-34 years,Male,156.10
1980,30-34 years,Female,88.20
1980,30-34 years,Both,123.80
1980,35-39 years,Male,196.50
1980,35-39 years,Female,111.60
1980,35-39 years,Both,156.60
1980,40-44 years,Male,293.20
1980,40-44 years,Female,168.50
1980,40-44 years,Both,233.70
1980,45-49 years,Male,462.30
1980,45-49 years,Female,262.40
1980,45-49 years,Both,366.20
1980,50-54 years,Male,742.40
1980,50-54 years,Female,409.80
1980,50-54 years,Both,582.40
1980,55-59 years,Male,1176.10
1980,55-59 years,Female,628.00
1980,55-59 years,Both,887.10
1980,60-64 years,Male,1896.40
1980,60-64 years,Female,1050.00
1980,60-64 years,Both,1449.60
1980,65-69 years,Male,2990.90
1980,65-69 years,Female,1752.90
1980,65-69 years,Both,2312.50
1980,70-74 years,Male,4663.60
1980,70-74 years,Female,3022.30
1980,70-74 years,Both,3765.10
1980,75-79 years,Male,7282.10
1980,75-79 years,Female,5238.40
1980,75-79 years,Both,6127.40
1980,80+ years,Male,13669.00
1980,80+ years,Female,11379.10
1980,80+ years,Both,12299.30
1980,All ages,Male,620.90
1980,All ages,Female,511.30
1980,All ages,Both,567.80
1990,0-6 days,Male,33004.00
1990,0-6 days,Female,24550.40
1990,0-6 days,Both,28917.50
1990,7-27 days,Male,6097.60
1990,7-27 days,Female,5201.80
1990,7-27 days,Both,5664.50
1990,28-364 days,Male,2571.60
1990,28-364 days,Female,2256.10
1990,28-364 days,Both,2419.00
1990,1-4 years,Male,353.40
1990,1-4 years,Female,303.80
1990,1-4 years,Both,329.40
1990,5-9 years,Male,64.50
1990,5-9 years,Female,48.50
1990,5-9 years,Both,56.80
1990,10-14 years,Male,47.90
1990,10-14 years,Female,27.10
1990,10-14 years,Both,37.80
1990,15-19 years,Male,88.50
1990,15-19 years,Female,36.80
1990,15-19 years,Both,63.40
1990,20-24 years,Male,119.10
1990,20-24 years,Female,46.80
1990,20-24 years,Both,84.00
1990,25-29 years,Male,121.60
1990,25-29 years,Female,55.30
1990,25-29 years,Both,89.50
1990,30-34 years,Male,138.70
1990,30-34 years,Female,71.20
1990,30-34 years,Both,105.90
1990,35-39 years,Male,173.20
1990,35-39 years,Female,87.50
1990,35-39 years,Both,132.00
1990,40-44 years,Male,258.90
1990,40-44 years,Female,137.60
1990,40-44 years,Both,201.30
1990,45-49 years,Male,408.90
1990,45-49 years,Female,219.80
1990,45-49 years,Both,318.20
1990,50-54 years,Male,659.60
1990,50-54 years,Female,347.10
1990,50-54 years,Both,514.20
1990,55-59 years,Male,1057.30
1990,55-59 years,Female,538.00
1990,55-59 years,Both,807.60
1990,60-64 years,Male,1733.60
1990,60-64 years,Female,910.90
1990,60-64 years,Both,1305.30
1990,65-69 years,Male,2769.00
1990,65-69 years,Female,1533.70
1990,65-69 years,Both,2111.80
1990,70-74 years,Male,4350.60
1990,70-74 years,Female,2656.90
1990,70-74 years,Both,3421.10
1990,75-79 years,Male,6858.80
1990,75-79 years,Female,4681.30
1990,75-79 years,Both,5555.50
1990,80+ years,Male,13051.70
1990,80+ years,Female,10562.60
1990,80+ years,Both,11440.60
1990,All ages,Male,550.20
1990,All ages,Female,453.10
1990,All ages,Both,502.90
2000,0-6 days,Male,27063.20
2000,0-6 days,Female,20566.60
2000,0-6 days,Both,23925.10
2000,7-27 days,Male,3859.90
2000,7-27 days,Female,3287.50
2000,7-27 days,Both,3583.20
2000,28-364 days,Male,1470.30
2000,28-364 days,Female,1322.00
2000,28-364 days,Both,1398.60
2000,1-4 years,Male,207.70
2000,1-4 years,Female,173.40
2000,1-4 years,Both,191.10
2000,5-9 years,Male,44.70
2000,5-9 years,Female,33.60
2000,5-9 years,Both,39.30
