Date,Open,High,Low,Close,Adj Close,Volume
3/2/2021,128.410003662,128.720001221,125.010002136,125.120002747,123.132331848,102260900
3/3/2021,124.809997559,125.709999084,121.839996338,122.059997559,120.120941162,112966300
3/4/2021,121.750000000,123.599998474,118.620002747,120.129997253,118.221595764,178155000
3/5/2021,120.980003357,121.940002441,117.569999695,121.419998169,119.491088867,153766600
3/8/2021,120.930000305,121.000000000,116.209999084,116.360000610,114.511482239,154376600
3/9/2021,119.029998779,122.059997559,118.790000916,121.089996338,119.166358948,129525800
3/10/2021,121.690002441,122.169998169,119.449996948,119.980003357,118.073974609,111943300
3/11/2021,122.540000916,123.209999084,121.260002136,121.959999084,120.022529602,103026500
3/12/2021,120.400001526,121.169998169,119.160003662,121.029998779,119.107299805,88105100
3/15/2021,121.410003662,124.000000000,120.419998169,123.989997864,122.020286560,92403800
3/16/2021,125.699996948,127.220001221,124.720001221,125.569999695,123.575195313,115227900
3/17/2021,124.050003052,125.860000610,122.339996338,124.760002136,122.778053284,111932600
3/18/2021,122.879997253,123.180000305,120.319999695,120.529998779,118.615249634,121229700
3/19/2021,119.900001526,121.430000305,119.680000305,119.989997864,118.083824158,185549500
3/22/2021,120.330001831,123.870002747,120.260002136,123.389999390,121.429801941,111912300
3/23/2021,123.330001831,124.239997864,122.139999390,122.540000916,120.593322754,95467100
3/24/2021,122.819999695,122.900001526,120.069999695,120.089996338,118.182235718,88530500
3/25/2021,119.540000916,121.660003662,119.000000000,120.589996338,118.674293518,98844700
3/26/2021,120.349998474,121.480003357,118.919998169,121.209999084,119.284439087,94071200
3/29/2021,121.650001526,122.580001831,120.730003357,121.389999390,119.461593628,80819200
3/30/2021,120.110000610,120.400001526,118.860000610,119.900001526,117.995269775,85671900
3/31/2021,121.650001526,123.519996643,121.150001526,122.150001526,120.209503174,118323800
4/1/2021,123.660003662,124.180000305,122.489997864,123.000000000,121.046005249,75089100
4/5/2021,123.870002747,126.160003662,123.069999695,125.900001526,123.899932861,88651200
4/6/2021,126.500000000,127.129997253,125.650001526,126.209999084,124.205001831,80171300
4/7/2021,125.830001831,127.919998169,125.139999390,127.900001526,125.868171692,83466700
4/8/2021,128.949996948,130.389999390,128.520004272,130.360000610,128.289108276,88844600
4/9/2021,129.800003052,133.039993286,129.470001221,133.000000000,130.887161255,106686700
4/12/2021,132.520004272,132.850006104,130.630004883,131.240005493,129.155120850,91420000
4/13/2021,132.440002441,134.660003662,131.929992676,134.429992676,132.294433594,91266500
4/14/2021,134.940002441,135.000000000,131.660003662,132.029998779,129.932556152,87222800
4/15/2021,133.820007324,135.000000000,133.639999390,134.500000000,132.363311768,89347100
4/16/2021,134.300003052,134.669998169,133.279998779,134.160003662,132.028717041,84922400
4/19/2021,133.509994507,135.470001221,133.339996338,134.839996338,132.697921753,94264200
4/20/2021,135.020004272,135.529998779,131.809997559,133.110000610,130.995391846,94812300
4/21/2021,132.360000610,133.750000000,131.300003052,133.500000000,131.379211426,68847100
4/22/2021,133.039993286,134.149993896,131.410003662,131.940002441,129.844009399,84566500
4/23/2021,132.160003662,135.119995117,132.160003662,134.320007324,132.186187744,78657500
4/26/2021,134.830001831,135.059997559,133.559997559,134.720001221,132.579818726,66905100
4/27/2021,135.009994507,135.410003662,134.110000610,134.389999390,132.255081177,66015800
4/28/2021,134.309997559,135.020004272,133.080001831,133.580001831,131.457962036,107760100
4/29/2021,136.470001221,137.070007324,132.449996948,133.479995728,131.359542847,151101000
